[8 INFO main 53] Initialising Python Geth Console...
[8 INFO main 56] Initialising RandB board...
[8 INFO main 56] Initialising navigation...
[8 INFO main 56] Initialising random-walk...
[8 INFO main 56] Initialising odometry...
[8 INFO main 56] Initialising ground-sensors...
[8 INFO main 627] --//-- Starting Experiment --//--
[8 INFO main 1725] Idle.IDLE -> Scout.Query | Duration: 23.98
[8 INFO main 26558] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[8 INFO main 31158] Scout.GotoCenter -> Scout.Query | return to random walk
[8 INFO main 31659] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[8 INFO main 31967] Scout.GotoCenter -> Scout.Query | return to random walk
[8 INFO main 32668] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[8 INFO main 32965] Scout.GotoCenter -> Scout.Query | return to random walk
[8 INFO main 33670] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[8 INFO main 34968] Scout.GotoCenter -> Scout.Query | return to random walk
[8 INFO main 35673] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[8 INFO main 35969] Scout.GotoCenter -> Scout.Query | return to random walk
[8 INFO main 36674] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[8 INFO main 37469] Scout.GotoCenter -> Scout.Query | return to random walk
[8 INFO main 37470] Scout.Query -> Scout.Query | return to random walk
