[1 INFO main 36] Initialising Python Geth Console...
[1 INFO main 40] Initialising RandB board...
[1 INFO main 40] Initialising navigation...
[1 INFO main 40] Initialising random-walk...
[1 INFO main 40] Initialising odometry...
[1 INFO main 40] Initialising ground-sensors...
[1 INFO main 1418] --//-- Starting Experiment --//--
[1 INFO main 2523] Idle.IDLE -> Scout.Query | Duration: 21.59
[1 INFO main 47081] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[1 INFO main 47582] Scout.GotoCenter -> Scout.Query | return to random walk
[1 INFO main 48082] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[1 INFO main 48181] Scout.GotoCenter -> Scout.Query | return to random walk
[1 INFO main 49084] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[1 INFO main 49182] Scout.GotoCenter -> Scout.Query | return to random walk
[1 INFO main 50085] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[1 INFO main 50184] Scout.GotoCenter -> Scout.Query | return to random walk
[1 INFO main 51086] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[1 INFO main 51185] Scout.GotoCenter -> Scout.Query | return to random walk
[1 INFO main 52087] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[1 INFO main 52186] Scout.GotoCenter -> Scout.Query | return to random walk
[1 INFO main 53089] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[1 INFO main 53186] Scout.GotoCenter -> Scout.Query | return to random walk
[1 INFO main 53186] Scout.Query -> Scout.Query | return to random walk
