[1 INFO main 51] Initialising Python Geth Console...
[1 INFO main 56] Initialising peer buffer...
[1 INFO main 56] Initialising resource buffer...
[1 INFO main 56] Initialising TCP server...
[1 INFO main 57] Initialising TCP server...
[1 INFO main 57] Initialising RandB board...
[1 INFO main 57] Initialising resource sensor...
[1 INFO main 57] Initialising random-walk...
[1 INFO main 57] Initialising navigation...
[1 INFO main 57] Initialising odometry...
[1 INFO main 2615] --//-- Starting Experiment --//--
[1 INFO main 2722] Idle.IDLE -> Scout.EXPLORE | Duration: 42.46
[1 INFO main 45200] Scout.EXPLORE -> Recruit.BUY | Found 0
[1 INFO main 75254] Recruit.BUY -> Idle.IDLE | Buy expired
[1 INFO main 75360] Idle.IDLE -> Scout.EXPLORE | Duration: 44.09
[1 INFO main 119508] Scout.EXPLORE -> Recruit.BUY | Found 0
[1 INFO main 149571] Recruit.BUY -> Idle.IDLE | Buy expired
[1 INFO main 149672] Idle.IDLE -> Scout.EXPLORE | Duration: 41.18
[1 INFO main 190951] Scout.EXPLORE -> Recruit.BUY | Found 0
[1 INFO main 220991] Recruit.BUY -> Idle.IDLE | Buy expired
[1 INFO main 221090] Idle.IDLE -> Scout.EXPLORE | Duration: 39.32
[1 INFO main 260451] Scout.EXPLORE -> Recruit.BUY | Found 0
[1 INFO main 290514] Recruit.BUY -> Idle.IDLE | Buy expired
[1 INFO main 290614] Idle.IDLE -> Scout.EXPLORE | Duration: 43.19
[1 INFO main 333879] Scout.EXPLORE -> Recruit.BUY | Found 0
[1 INFO main 363965] Recruit.BUY -> Idle.IDLE | Buy expired
[1 INFO main 364056] Idle.IDLE -> Scout.EXPLORE | Duration: 37.82
[1 INFO main 401911] Scout.EXPLORE -> Recruit.BUY | Found 0
[1 INFO main 431990] Recruit.BUY -> Idle.IDLE | Buy expired
[1 INFO main 432088] Idle.IDLE -> Scout.EXPLORE | Duration: 39.51
[1 INFO main 471649] Scout.EXPLORE -> Recruit.BUY | Found 0
[1 INFO main 501702] Recruit.BUY -> Idle.IDLE | Buy expired
[1 INFO main 501796] Idle.IDLE -> Scout.EXPLORE | Duration: 39.80
[1 INFO main 541668] Scout.EXPLORE -> Recruit.BUY | Found 0
[1 INFO main 571714] Recruit.BUY -> Idle.IDLE | Buy expired
[1 INFO main 571808] Idle.IDLE -> Scout.EXPLORE | Duration: 40.79
[1 INFO main 612677] Scout.EXPLORE -> Recruit.BUY | Found 0
[1 INFO main 642723] Recruit.BUY -> Idle.IDLE | Buy expired
[1 INFO main 642815] Idle.IDLE -> Scout.EXPLORE | Duration: 42.61
[1 INFO main 685481] Scout.EXPLORE -> Recruit.BUY | Found 0
[1 INFO main 715541] Recruit.BUY -> Idle.IDLE | Buy expired
[1 INFO main 715634] Idle.IDLE -> Scout.EXPLORE | Duration: 40.27
[1 INFO main 755903] Scout.EXPLORE -> Recruit.BUY | Found 0
[1 INFO main 785945] Recruit.BUY -> Idle.IDLE | Buy expired
[1 INFO main 786049] Idle.IDLE -> Scout.EXPLORE | Duration: 41.66
[1 INFO main 827800] Scout.EXPLORE -> Recruit.BUY | Found 0
[1 INFO main 857846] Recruit.BUY -> Idle.IDLE | Buy expired
[1 INFO main 857947] Idle.IDLE -> Scout.EXPLORE | Duration: 39.78
[1 INFO main 897799] Scout.EXPLORE -> Recruit.BUY | Found 0
