[7 INFO main 30] Initialising Python Geth Console...
[7 INFO main 34] Initialising RandB board...
[7 INFO main 34] Initialising navigation...
[7 INFO main 34] Initialising random-walk...
[7 INFO main 34] Initialising odometry...
[7 INFO main 34] Initialising ground-sensors...
[7 INFO main 674] --//-- Starting Experiment --//--
[7 INFO main 1776] Idle.IDLE -> Scout.Query | Duration: 23.36
[7 INFO main 42031] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 53437] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 53546] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 59252] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 59854] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 63654] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 64259] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 65761] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 66261] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 67058] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 67059] Scout.Query -> Scout.Query | return to random walk
