[14 INFO main 70] Initialising Python Geth Console...
[14 INFO main 74] Initialising RandB board...
[14 INFO main 74] Initialising navigation...
[14 INFO main 74] Initialising random-walk...
[14 INFO main 74] Initialising odometry...
[14 INFO main 74] Initialising ground-sensors...
[14 INFO main 139] --//-- Starting Experiment --//--
[14 INFO main 1230] Idle.IDLE -> Scout.Query | Duration: 19.25
[14 INFO main 80848] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 88157] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 89243] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 98064] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 98476] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 98965] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 99577] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 105575] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 105675] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 108274] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 108275] Scout.Query -> Scout.Query | return to random walk
