[10 INFO main 30] Initialising Python Geth Console...
[10 INFO main 33] Initialising RandB board...
[10 INFO main 33] Initialising navigation...
[10 INFO main 33] Initialising random-walk...
[10 INFO main 34] Initialising odometry...
[10 INFO main 34] Initialising ground-sensors...
[10 INFO main 412] --//-- Starting Experiment --//--
[10 INFO main 1511] Idle.IDLE -> Scout.Query | Duration: 21.26
[10 INFO main 69905] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[10 INFO main 72404] Scout.GotoCenter -> Scout.Query | return to random walk
[10 INFO main 73206] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[10 INFO main 76206] Scout.GotoCenter -> Scout.Query | return to random walk
[10 INFO main 76313] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[10 INFO main 77617] Scout.GotoCenter -> Scout.Query | return to random walk
[10 INFO main 78415] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[10 INFO main 82720] Scout.GotoCenter -> Scout.Query | return to random walk
[10 INFO main 83822] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[10 INFO main 84323] Scout.GotoCenter -> Scout.Query | return to random walk
[10 INFO main 84324] Scout.Query -> Scout.Query | return to random walk
