ID TIME ETH
7 0.182 21
7 5.197 21
7 10.249 21
7 15.279 21
7 20.383 21
7 25.49 21
7 30.516 21
7 35.577 21
7 40.693 21
7 45.774 21
7 50.797 21
7 55.854 21
7 60.874 21
7 65.955 21
7 71.056 21
7 76.068 21
7 81.154 21
7 86.253 21
7 91.357 21
7 96.378 21
7 101.419 21
7 106.454 21
7 111.474 21
7 116.614 21
7 121.659 21
7 126.706 21
7 131.759 21
7 136.947 21
7 142.059 21
7 147.16 21
7 152.259 21
7 157.387 21
7 162.472 21
7 167.63 21
7 172.73 21
7 177.771 21
7 182.856 21
7 187.873 21
7 192.994 21
7 198.07 21
7 203.172 21
7 208.267 21
7 213.371 21
7 218.431 21
7 223.47 21
7 228.566 21
7 233.688 21
7 238.772 21
7 243.793 21
7 248.871 21
7 253.932 21
7 258.97 21
7 263.977 21
7 269.06 21
7 274.167 21
7 279.23 21
7 284.373 21
7 289.461 21
