[7 INFO main 30] Initialising Python Geth Console...
[7 INFO main 34] Initialising RandB board...
[7 INFO main 34] Initialising navigation...
[7 INFO main 34] Initialising random-walk...
[7 INFO main 34] Initialising odometry...
[7 INFO main 34] Initialising ground-sensors...
[7 INFO main 671] --//-- Starting Experiment --//--
[7 INFO main 1780] Idle.IDLE -> Scout.Query | Duration: 19.43
[7 INFO main 100104] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 102909] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 103210] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 106109] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 106314] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 108010] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 108408] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 108612] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 109414] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 109610] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 109611] Scout.Query -> Scout.Query | return to random walk
