[15 INFO main 30] Initialising Python Geth Console...
[15 INFO main 33] Initialising RandB board...
[15 INFO main 33] Initialising navigation...
[15 INFO main 33] Initialising random-walk...
[15 INFO main 33] Initialising odometry...
[15 INFO main 33] Initialising ground-sensors...
[15 INFO main 50] --//-- Starting Experiment --//--
[15 INFO main 1167] Idle.IDLE -> Scout.Query | Duration: 23.05
[15 INFO main 42612] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[15 INFO main 60535] Scout.GotoCenter -> Scout.Query | return to random walk
[15 INFO main 61336] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[15 INFO main 66938] Scout.GotoCenter -> Scout.Query | return to random walk
[15 INFO main 67735] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[15 INFO main 71934] Scout.GotoCenter -> Scout.Query | return to random walk
[15 INFO main 72853] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[15 INFO main 73744] Scout.GotoCenter -> Scout.Query | return to random walk
[15 INFO main 73857] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[15 INFO main 77055] Scout.GotoCenter -> Scout.Query | return to random walk
[15 INFO main 77056] Scout.Query -> Scout.Query | return to random walk
