[14 INFO main 68] Initialising Python Geth Console...
[14 INFO main 72] Initialising RandB board...
[14 INFO main 72] Initialising navigation...
[14 INFO main 72] Initialising random-walk...
[14 INFO main 72] Initialising odometry...
[14 INFO main 72] Initialising ground-sensors...
[14 INFO main 138] --//-- Starting Experiment --//--
[14 INFO main 1234] Idle.IDLE -> Scout.Query | Duration: 20.36
[14 INFO main 85049] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 92955] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 93360] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 95662] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 96464] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 101174] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 101558] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 102170] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 102567] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 103564] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 103669] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 104570] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 104571] Scout.Query -> Scout.Query | return to random walk
