[14 INFO main 29] Initialising Python Geth Console...
[14 INFO main 33] Initialising RandB board...
[14 INFO main 33] Initialising navigation...
[14 INFO main 33] Initialising random-walk...
[14 INFO main 33] Initialising odometry...
[14 INFO main 33] Initialising ground-sensors...
[14 INFO main 292] --//-- Starting Experiment --//--
[14 INFO main 1391] Idle.IDLE -> Scout.Query | Duration: 23.81
[14 INFO main 28730] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 48144] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 48656] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 54363] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 54865] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 55661] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 55968] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 58475] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 59079] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 61075] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 61076] Scout.Query -> Scout.Query | return to random walk
