[6 INFO main 30] Initialising Python Geth Console...
[6 INFO main 33] Initialising RandB board...
[6 INFO main 34] Initialising navigation...
[6 INFO main 34] Initialising random-walk...
[6 INFO main 34] Initialising odometry...
[6 INFO main 34] Initialising ground-sensors...
[6 INFO main 731] --//-- Starting Experiment --//--
[6 INFO main 1830] Idle.IDLE -> Scout.Query | Duration: 19.28
[6 INFO main 61911] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[6 INFO main 77433] Scout.GotoCenter -> Scout.Query | return to random walk
[6 INFO main 78434] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[6 INFO main 80831] Scout.GotoCenter -> Scout.Query | return to random walk
[6 INFO main 81437] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[6 INFO main 81833] Scout.GotoCenter -> Scout.Query | return to random walk
[6 INFO main 82439] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[6 INFO main 82734] Scout.GotoCenter -> Scout.Query | return to random walk
[6 INFO main 83540] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[6 INFO main 85439] Scout.GotoCenter -> Scout.Query | return to random walk
[6 INFO main 85440] Scout.Query -> Scout.Query | return to random walk
