[7 INFO main 30] Initialising Python Geth Console...
[7 INFO main 34] Initialising RandB board...
[7 INFO main 34] Initialising navigation...
[7 INFO main 34] Initialising random-walk...
[7 INFO main 34] Initialising odometry...
[7 INFO main 34] Initialising ground-sensors...
[7 INFO main 721] --//-- Starting Experiment --//--
[7 INFO main 1820] Idle.IDLE -> Scout.Query | Duration: 21.55
[7 INFO main 60500] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 64100] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 64505] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 65603] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 66508] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 68013] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 68514] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 69308] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 69515] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[7 INFO main 70109] Scout.GotoCenter -> Scout.Query | return to random walk
[7 INFO main 70109] Scout.Query -> Scout.Query | return to random walk
