[2 INFO main 31] Initialising Python Geth Console...
[2 INFO main 34] Initialising RandB board...
[2 INFO main 34] Initialising navigation...
[2 INFO main 34] Initialising random-walk...
[2 INFO main 34] Initialising odometry...
[2 INFO main 34] Initialising ground-sensors...
[2 INFO main 983] --//-- Starting Experiment --//--
[2 INFO main 2084] Idle.IDLE -> Scout.Query | Duration: 22.41
[2 INFO main 124441] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 180211] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 180711] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 181112] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 181713] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 182313] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 182714] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 184116] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 184717] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 186319] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 186720] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 187218] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 187721] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 187820] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 187821] Scout.Query -> Scout.Query | return to random walk
