[12 INFO main 59] Initialising Python Geth Console...
[12 INFO main 63] Initialising RandB board...
[12 INFO main 63] Initialising navigation...
[12 INFO main 64] Initialising random-walk...
[12 INFO main 64] Initialising odometry...
[12 INFO main 64] Initialising ground-sensors...
[12 INFO main 355] --//-- Starting Experiment --//--
[12 INFO main 1455] Idle.IDLE -> Scout.Query | Duration: 22.35
[12 INFO main 95391] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[12 INFO main 106395] Scout.GotoCenter -> Scout.Query | return to random walk
[12 INFO main 109000] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[12 INFO main 109595] Scout.GotoCenter -> Scout.Query | return to random walk
[12 INFO main 109595] Scout.Query -> Scout.Query | Back to normal
[12 INFO main 110105] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[12 INFO main 110792] Scout.GotoCenter -> Scout.Query | return to random walk
[12 INFO main 156769] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[12 INFO main 171979] Scout.GotoCenter -> Scout.Query | return to random walk
[12 INFO main 179790] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[12 INFO main 181791] Scout.GotoCenter -> Scout.Query | return to random walk
[12 INFO main 217352] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[12 INFO main 220549] Scout.GotoCenter -> Scout.Query | return to random walk
[12 INFO main 275319] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[12 INFO main 299945] Scout.GotoCenter -> Scout.Query | return to random walk
[12 INFO main 311665] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[12 INFO main 326878] Scout.GotoCenter -> Scout.Query | return to random walk
[12 INFO main 333491] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[12 INFO main 356719] Scout.GotoCenter -> Scout.Query | return to random walk
