[6 INFO main 30] Initialising Python Geth Console...
[6 INFO main 33] Initialising RandB board...
[6 INFO main 33] Initialising navigation...
[6 INFO main 33] Initialising random-walk...
[6 INFO main 34] Initialising odometry...
[6 INFO main 34] Initialising ground-sensors...
[6 INFO main 879] --//-- Starting Experiment --//--
[6 INFO main 1978] Idle.IDLE -> Scout.Query | Duration: 20.62
[6 INFO main 51144] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[6 INFO main 55846] Scout.GotoCenter -> Scout.Query | return to random walk
[6 INFO main 59254] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[6 INFO main 61157] Scout.GotoCenter -> Scout.Query | return to random walk
[6 INFO main 61259] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[6 INFO main 61857] Scout.GotoCenter -> Scout.Query | return to random walk
[6 INFO main 62359] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[6 INFO main 62859] Scout.GotoCenter -> Scout.Query | return to random walk
[6 INFO main 63361] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[6 INFO main 64259] Scout.GotoCenter -> Scout.Query | return to random walk
[6 INFO main 64454] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[6 INFO main 64556] Scout.GotoCenter -> Scout.Query | return to random walk
[6 INFO main 64556] Scout.Query -> Scout.Query | return to random walk
