[14 INFO main 30] Initialising Python Geth Console...
[14 INFO main 33] Initialising RandB board...
[14 INFO main 33] Initialising navigation...
[14 INFO main 33] Initialising random-walk...
[14 INFO main 33] Initialising odometry...
[14 INFO main 33] Initialising ground-sensors...
[14 INFO main 99] --//-- Starting Experiment --//--
[14 INFO main 1195] Idle.IDLE -> Scout.Query | Duration: 18.15
[14 INFO main 24732] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 26232] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 26949] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 31138] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 96719] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 98424] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 98829] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 99525] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 99832] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[14 INFO main 100127] Scout.GotoCenter -> Scout.Query | return to random walk
[14 INFO main 100128] Scout.Query -> Scout.Query | return to random walk
