[3 INFO main 53] Initialising Python Geth Console...
[3 INFO main 58] Initialising peer buffer...
[3 INFO main 58] Initialising resource buffer...
[3 INFO main 58] Initialising TCP server...
[3 INFO main 58] Initialising TCP server...
[3 INFO main 58] Initialising RandB board...
[3 INFO main 58] Initialising resource sensor...
[3 INFO main 58] Initialising random-walk...
[3 INFO main 58] Initialising navigation...
[3 INFO main 58] Initialising odometry...
[3 INFO main 2464] --//-- Starting Experiment --//--
[3 INFO main 2569] Idle.IDLE -> Scout.EXPLORE | Duration: 40.66
[3 INFO main 43241] Scout.EXPLORE -> Recruit.BUY | Found 0
[3 INFO main 73293] Recruit.BUY -> Idle.IDLE | Buy expired
[3 INFO main 73404] Idle.IDLE -> Scout.EXPLORE | Duration: 42.88
[3 INFO main 116359] Scout.EXPLORE -> Recruit.BUY | Found 0
[3 INFO main 146416] Recruit.BUY -> Idle.IDLE | Buy expired
[3 INFO main 146511] Idle.IDLE -> Scout.EXPLORE | Duration: 44.29
[3 INFO main 190802] Scout.EXPLORE -> Recruit.BUY | Found 0
[3 INFO main 220837] Recruit.BUY -> Idle.IDLE | Buy expired
[3 INFO main 220936] Idle.IDLE -> Scout.EXPLORE | Duration: 41.69
[3 INFO main 262702] Scout.EXPLORE -> Recruit.BUY | Found 0
[3 INFO main 292768] Recruit.BUY -> Idle.IDLE | Buy expired
[3 INFO main 292869] Idle.IDLE -> Scout.EXPLORE | Duration: 40.43
[3 INFO main 333327] Scout.EXPLORE -> Recruit.BUY | Found 0
[3 INFO main 363395] Recruit.BUY -> Idle.IDLE | Buy expired
[3 INFO main 363505] Idle.IDLE -> Scout.EXPLORE | Duration: 40.64
[3 INFO main 404165] Scout.EXPLORE -> Recruit.BUY | Found 0
[3 INFO main 434250] Recruit.BUY -> Idle.IDLE | Buy expired
[3 INFO main 434344] Idle.IDLE -> Scout.EXPLORE | Duration: 39.27
[3 INFO main 473705] Scout.EXPLORE -> Recruit.BUY | Found 0
[3 INFO main 503751] Recruit.BUY -> Idle.IDLE | Buy expired
[3 INFO main 503854] Idle.IDLE -> Scout.EXPLORE | Duration: 42.87
[3 INFO main 546725] Scout.EXPLORE -> Recruit.BUY | Found 0
[3 INFO main 576768] Recruit.BUY -> Idle.IDLE | Buy expired
[3 INFO main 576870] Idle.IDLE -> Scout.EXPLORE | Duration: 40.13
[3 INFO main 617024] Scout.EXPLORE -> Recruit.BUY | Found 0
[3 INFO main 647076] Recruit.BUY -> Idle.IDLE | Buy expired
[3 INFO main 647180] Idle.IDLE -> Scout.EXPLORE | Duration: 38.71
[3 INFO main 685924] Scout.EXPLORE -> Recruit.BUY | Found 0
[3 INFO main 715988] Recruit.BUY -> Idle.IDLE | Buy expired
[3 INFO main 716089] Idle.IDLE -> Scout.EXPLORE | Duration: 40.76
[3 INFO main 756852] Scout.EXPLORE -> Recruit.BUY | Found 0
[3 INFO main 786897] Recruit.BUY -> Idle.IDLE | Buy expired
[3 INFO main 786993] Idle.IDLE -> Scout.EXPLORE | Duration: 40.46
[3 INFO main 827551] Scout.EXPLORE -> Recruit.BUY | Found 0
[3 INFO main 857596] Recruit.BUY -> Idle.IDLE | Buy expired
[3 INFO main 857694] Idle.IDLE -> Scout.EXPLORE | Duration: 40.24
[3 INFO main 897947] Scout.EXPLORE -> Recruit.BUY | Found 0
